,Player ID,First Name,Last Name,Year,AB,H,HR,RBI,SO,POS,Adjusted Salary,BA
63,abreubo01,Bobby,Abreu,1999,546,183,20,93.0,113.0,OF,576247,0.335
64,abreubo01,Bobby,Abreu,2000,576,182,25,79.0,116.0,OF,4088388,0.316
65,abreubo01,Bobby,Abreu,2001,588,170,31,110.0,137.0,OF,6752992,0.289
66,abreubo01,Bobby,Abreu,2002,572,176,20,85.0,117.0,OF,8449384,0.308
67,abreubo01,Bobby,Abreu,2003,577,173,20,101.0,126.0,OF,11869911,0.3
68,abreubo01,Bobby,Abreu,2004,574,173,30,105.0,116.0,OF,13467836,0.301
69,abreubo01,Bobby,Abreu,2005,588,168,24,102.0,134.0,OF,16098780,0.286
72,abreubo01,Bobby,Abreu,2007,605,171,16,101.0,115.0,OF,17363125,0.283
73,abreubo01,Bobby,Abreu,2008,609,180,20,100.0,109.0,OF,17835850,0.296
74,abreubo01,Bobby,Abreu,2009,563,165,15,103.0,113.0,OF,5593604,0.293
75,abreubo01,Bobby,Abreu,2010,573,146,20,78.0,132.0,OF,9906001,0.255
76,abreubo01,Bobby,Abreu,2011,502,127,8,60.0,113.0,OF,9602883,0.253
79,abreujo02,Jose,Abreu,2014,556,176,36,107.0,131.0,1B,7096720,0.317
80,abreujo02,Jose,Abreu,2015,613,178,30,101.0,140.0,1B,8775323,0.29
81,abreujo02,Jose,Abreu,2016,624,183,25,100.0,125.0,1B,11666667,0.293
112,ackledu01,Dustin,Ackley,2012,607,137,12,50.0,124.0,1B,2195243,0.226
114,ackledu01,Dustin,Ackley,2014,502,123,14,65.0,90.0,1B,1723489,0.245
130,adamsma01,Matt,Adams,2014,527,152,15,68.0,114.0,1B,523130,0.288
300,alfoned01,Edgardo,Alfonzo,1997,518,163,10,72.0,56.0,2B,321505,0.315
301,alfoned01,Edgardo,Alfonzo,1998,557,155,17,78.0,77.0,2B,2576762,0.278
302,alfoned01,Edgardo,Alfonzo,1999,628,191,27,108.0,85.0,2B,4033731,0.304
303,alfoned01,Edgardo,Alfonzo,2000,544,176,25,94.0,70.0,2B,5888673,0.324
306,alfoned01,Edgardo,Alfonzo,2003,514,133,13,81.0,41.0,2B,5217543,0.259
307,alfoned01,Edgardo,Alfonzo,2004,519,150,11,77.0,40.0,2B,8258579,0.289
319,alicelu01,Luis,Alicea,2000,540,159,6,63.0,75.0,2B,1045327,0.294
371,alomaro01,Roberto,Alomar,1989,623,184,7,56.0,76.0,2B,290331,0.295
372,alomaro01,Roberto,Alomar,1990,586,168,6,60.0,72.0,2B,716165,0.287
373,alomaro01,Roberto,Alomar,1991,637,188,9,69.0,86.0,2B,2290816,0.295
374,alomaro01,Roberto,Alomar,1992,571,177,8,76.0,52.0,2B,5103498,0.31
375,alomaro01,Roberto,Alomar,1993,589,192,17,93.0,67.0,2B,8194010,0.326
377,alomaro01,Roberto,Alomar,1995,517,155,13,66.0,45.0,2B,8661670,0.3
378,alomaro01,Roberto,Alomar,1996,588,193,22,94.0,65.0,2B,6546086,0.328
380,alomaro01,Roberto,Alomar,1998,588,166,14,56.0,70.0,2B,9340794,0.282
381,alomaro01,Roberto,Alomar,1999,563,182,24,120.0,96.0,2B,10156310,0.323
382,alomaro01,Roberto,Alomar,2000,610,189,19,89.0,82.0,2B,10030475,0.31
383,alomaro01,Roberto,Alomar,2001,575,193,20,100.0,71.0,2B,10502847,0.336
384,alomaro01,Roberto,Alomar,2002,590,157,11,53.0,83.0,2B,10592412,0.266
408,alonsyo01,Yonder,Alonso,2012,549,150,9,62.0,101.0,1B,1463496,0.273
419,aloumo01,Moises,Alou,1996,540,152,21,96.0,83.0,OF,4665528,0.281
420,aloumo01,Moises,Alou,1997,538,157,23,115.0,85.0,OF,6729168,0.292
421,aloumo01,Moises,Alou,1998,584,182,38,124.0,87.0,OF,7391627,0.312
423,aloumo01,Moises,Alou,2001,513,170,27,108.0,57.0,OF,7114832,0.331
425,aloumo01,Moises,Alou,2003,565,158,22,91.0,67.0,OF,12391666,0.28
426,aloumo01,Moises,Alou,2004,601,176,39,106.0,80.0,OF,12070230,0.293
432,altuvjo01,Jose,Altuve,2012,576,167,7,37.0,74.0,2B,504906,0.29
433,altuvjo01,Jose,Altuve,2013,626,177,5,52.0,85.0,2B,521004,0.283
434,altuvjo01,Jose,Altuve,2014,660,225,7,59.0,53.0,2B,1267271,0.341
435,altuvjo01,Jose,Altuve,2015,638,200,15,66.0,67.0,2B,2531538,0.313
436,altuvjo01,Jose,Altuve,2016,640,216,24,96.0,70.0,2B,3687500,0.338
446,alvarpe01,Pedro,Alvarez,2012,525,128,30,85.0,180.0,3B,2299779,0.244
447,alvarpe01,Pedro,Alvarez,2013,558,130,36,100.0,186.0,3B,721184,0.233
501,anderbr01,Brady,Anderson,1992,623,169,21,80.0,98.0,OF,624395,0.271
502,anderbr01,Brady,Anderson,1993,560,147,13,66.0,99.0,OF,3081059,0.262
504,anderbr01,Brady,Anderson,1995,554,145,16,64.0,111.0,OF,5249496,0.262
505,anderbr01,Brady,Anderson,1996,579,172,50,110.0,106.0,OF,5527248,0.297
506,anderbr01,Brady,Anderson,1997,590,170,18,73.0,105.0,OF,6056251,0.288
508,anderbr01,Brady,Anderson,1999,564,159,24,81.0,105.0,OF,8175360,0.282
509,anderbr01,Brady,Anderson,2000,506,130,19,50.0,103.0,OF,9933668,0.257
549,anderga01,Garret,Anderson,1996,607,173,12,72.0,84.0,OF,382420,0.285
550,anderga01,Garret,Anderson,1997,624,189,8,92.0,70.0,OF,897222,0.303
551,anderga01,Garret,Anderson,1998,622,183,15,79.0,80.0,OF,2208653,0.294
552,anderga01,Garret,Anderson,1999,620,188,21,80.0,81.0,OF,3169360,0.303
553,anderga01,Garret,Anderson,2000,647,185,35,117.0,87.0,OF,4529749,0.286
554,anderga01,Garret,Anderson,2001,672,194,28,123.0,100.0,OF,6098427,0.289
555,anderga01,Garret,Anderson,2002,638,195,29,123.0,80.0,OF,6670567,0.306
556,anderga01,Garret,Anderson,2003,638,201,29,116.0,83.0,OF,6978464,0.315
558,anderga01,Garret,Anderson,2005,575,163,17,96.0,84.0,OF,11797579,0.283
559,anderga01,Garret,Anderson,2006,543,152,17,85.0,95.0,OF,12619416,0.28
561,anderga01,Garret,Anderson,2008,557,163,15,84.0,77.0,OF,14045732,0.293
596,anderma02,Marlon,Anderson,2001,522,153,11,61.0,74.0,2B,379458,0.293
597,anderma02,Marlon,Anderson,2002,539,139,8,48.0,71.0,2B,533645,0.258
621,andruel01,Elvis,Andrus,2010,588,156,0,35.0,96.0,SS,460541,0.265
622,andruel01,Elvis,Andrus,2011,587,164,5,60.0,74.0,SS,482470,0.279
623,andruel01,Elvis,Andrus,2012,629,180,3,62.0,96.0,SS,2744054,0.286
624,andruel01,Elvis,Andrus,2013,620,168,4,67.0,97.0,SS,5202829,0.271
625,andruel01,Elvis,Andrus,2014,619,163,2,41.0,96.0,SS,6564466,0.263
626,andruel01,Elvis,Andrus,2015,596,154,7,62.0,78.0,SS,15189227,0.258
627,andruel01,Elvis,Andrus,2016,506,153,8,69.0,70.0,SS,15333333,0.302
651,aokino01,Nori,Aoki,2012,520,150,10,50.0,55.0,OF,1045354,0.288
652,aokino01,Nori,Aoki,2013,597,171,8,37.0,40.0,OF,1764326,0.286
697,arenano01,Nolan,Arenado,2015,616,177,42,130.0,110.0,3B,518965,0.287
698,arenano01,Nolan,Arenado,2016,618,182,41,133.0,103.0,3B,5000000,0.294
847,atkinga01,Garrett,Atkins,2005,519,149,13,89.0,72.0,3B,389566,0.287
848,atkinga01,Garrett,Atkins,2006,602,198,29,120.0,76.0,3B,398821,0.329
849,atkinga01,Garrett,Atkins,2007,605,182,25,111.0,96.0,3B,463017,0.301
850,atkinga01,Garrett,Atkins,2008,611,175,21,99.0,100.0,3B,4890924,0.286
861,aurilri01,Rich,Aurilia,1999,558,157,22,80.0,71.0,SS,1368587,0.281
862,aurilri01,Rich,Aurilia,2000,509,138,20,79.0,90.0,SS,2160342,0.271
863,aurilri01,Rich,Aurilia,2001,636,206,37,97.0,83.0,SS,4404420,0.324
864,aurilri01,Rich,Aurilia,2002,538,138,15,61.0,90.0,SS,7004095,0.257
865,aurilri01,Rich,Aurilia,2003,505,140,13,58.0,82.0,SS,8152412,0.277
882,ausmubr01,Brad,Ausmus,2000,523,139,7,51.0,79.0,C,5575075,0.266
922,avilemi01,Mike,Aviles,2012,512,128,13,60.0,77.0,2B,1254425,0.25
959,aybarer01,Erick,Aybar,2009,504,157,5,58.0,54.0,2B,514612,0.312
960,aybarer01,Erick,Aybar,2010,534,135,5,29.0,81.0,2B,2256367,0.253
961,aybarer01,Erick,Aybar,2011,556,155,10,59.0,68.0,2B,3200961,0.279
962,aybarer01,Erick,Aybar,2012,517,150,8,45.0,61.0,2B,5305171,0.29
963,aybarer01,Erick,Aybar,2013,550,149,6,54.0,59.0,2B,9014802,0.271
964,aybarer01,Erick,Aybar,2014,589,164,7,68.0,62.0,2B,8617445,0.278
965,aybarer01,Erick,Aybar,2015,597,161,3,44.0,73.0,2B,8607229,0.27
986,backmwa01,Wally,Backman,1985,520,142,1,38.0,72.0,2B,446110,0.273
1003,baergca01,Carlos,Baerga,1991,593,171,11,69.0,74.0,2B,361244,0.288
1004,baergca01,Carlos,Baerga,1992,657,205,20,105.0,76.0,2B,898102,0.312
1005,baergca01,Carlos,Baerga,1993,624,200,21,114.0,68.0,2B,2297644,0.321
1007,baergca01,Carlos,Baerga,1995,557,175,15,90.0,31.0,2B,5721951,0.314
1011,baergca01,Carlos,Baerga,1998,511,136,7,53.0,55.0,2B,6994068,0.266
1030,bagweje01,Jeff,Bagwell,1992,586,160,18,96.0,97.0,1B,598734,0.273
1031,bagweje01,Jeff,Bagwell,1993,535,171,20,88.0,73.0,1B,1087921,0.32
1034,bagweje01,Jeff,Bagwell,1996,568,179,31,120.0,114.0,1B,7457196,0.315
1035,bagweje01,Jeff,Bagwell,1997,566,162,43,135.0,122.0,1B,12022781,0.286
1036,bagweje01,Jeff,Bagwell,1998,540,164,34,111.0,90.0,1B,11698501,0.304
1037,bagweje01,Jeff,Bagwell,1999,562,171,42,126.0,127.0,1B,9364019,0.304
1038,bagweje01,Jeff,Bagwell,2000,590,183,47,132.0,116.0,1B,9059498,0.31
1039,bagweje01,Jeff,Bagwell,2001,600,173,39,130.0,135.0,1B,8808840,0.288
1040,bagweje01,Jeff,Bagwell,2002,571,166,31,98.0,130.0,1B,14675247,0.291
1041,bagweje01,Jeff,Bagwell,2003,605,168,39,100.0,119.0,1B,16957016,0.278
1042,bagweje01,Jeff,Bagwell,2004,572,152,27,89.0,131.0,1B,20328809,0.266
1073,baineha01,Harold,Baines,1985,640,198,22,113.0,89.0,OF,1505620,0.309
1074,baineha01,Harold,Baines,1986,570,169,21,88.0,89.0,OF,1697130,0.296
1075,baineha01,Harold,Baines,1987,505,148,20,93.0,82.0,OF,2007101,0.293
1076,baineha01,Harold,Baines,1988,599,166,13,81.0,109.0,OF,2028800,0.277
1138,balbost01,Steve,Balboni,1985,600,146,36,88.0,166.0,1B,457262,0.243
1139,balbost01,Steve,Balboni,1986,512,117,29,88.0,146.0,1B,1149669,0.229
1145,baldero01,Rocco,Baldelli,2003,637,184,11,78.0,128.0,OF,391316,0.289
1146,baldero01,Rocco,Baldelli,2004,518,145,16,74.0,88.0,OF,406576,0.28
1253,barfije01,Jesse,Barfield,1985,539,156,27,84.0,143.0,OF,724928,0.289
1254,barfije01,Jesse,Barfield,1986,589,170,40,108.0,146.0,OF,1587638,0.289
1255,barfije01,Jesse,Barfield,1987,590,155,28,84.0,141.0,OF,3221925,0.263
1264,barfijo02,Josh,Barfield,2006,539,151,13,58.0,81.0,2B,389297,0.28
1278,barmecl01,Clint,Barmes,2009,550,135,23,76.0,121.0,SS,1817921,0.245
1291,barneda01,Darwin,Barney,2011,529,146,2,43.0,67.0,2B,444934,0.276
1292,barneda01,Darwin,Barney,2012,548,139,7,44.0,58.0,2B,522677,0.254
1308,barrema02,Marty,Barrett,1985,534,142,5,56.0,50.0,2B,607824,0.266
1309,barrema02,Marty,Barrett,1986,625,179,4,60.0,31.0,2B,952583,0.286
1310,barrema02,Marty,Barrett,1987,559,164,3,43.0,38.0,2B,1214824,0.293
1311,barrema02,Marty,Barrett,1988,612,173,1,65.0,35.0,2B,1369440,0.283
1334,bartlja01,Jason,Bartlett,2007,510,135,5,43.0,73.0,2B,468804,0.265
1338,bartlja01,Jason,Bartlett,2011,554,136,2,40.0,98.0,2B,4267948,0.245
1344,bartoda02,Daric,Barton,2010,556,152,10,57.0,102.0,1B,451273,0.273
1357,basske01,Kevin,Bass,1985,539,145,16,68.0,63.0,OF,345735,0.269
1358,basske01,Kevin,Bass,1986,591,184,20,79.0,72.0,OF,678852,0.311
1359,basske01,Kevin,Bass,1987,592,168,19,85.0,77.0,OF,1331025,0.284
1360,basske01,Kevin,Bass,1988,541,138,14,72.0,65.0,OF,1785344,0.255
1421,batisto01,Tony,Batista,2002,615,150,31,87.0,107.0,2B,6537156,0.244
1422,batisto01,Tony,Batista,2003,631,148,26,99.0,102.0,2B,8348070,0.235
1423,batisto01,Tony,Batista,2004,606,146,32,110.0,78.0,2B,1905826,0.241
1447,bautida01,Danny,Bautista,2004,539,154,11,65.0,66.0,OF,5082202,0.286
1466,bautijo02,Jose,Bautista,2007,532,135,15,63.0,101.0,3B,460123,0.254
1470,bautijo02,Jose,Bautista,2010,569,148,54,124.0,116.0,3B,2641600,0.26
1471,bautijo02,Jose,Bautista,2011,513,155,43,103.0,111.0,3B,8535896,0.302
1474,bautijo02,Jose,Bautista,2014,553,158,35,103.0,96.0,3B,14193439,0.286
1475,bautijo02,Jose,Bautista,2015,543,136,40,114.0,106.0,3B,14176612,0.25
1482,bayja01,Jason,Bay,2005,599,183,32,101.0,142.0,OF,436265,0.306
1483,bayja01,Jason,Bay,2006,570,163,35,109.0,156.0,OF,1190511,0.286
1484,bayja01,Jason,Bay,2007,538,133,21,84.0,141.0,OF,4051396,0.247
1487,bayja01,Jason,Bay,2009,531,142,36,119.0,162.0,OF,8726022,0.267
1494,baylodo01,Don,Baylor,1986,585,139,31,94.0,111.0,OF,1446822,0.238
1533,beckeri01,Rich,Becker,1996,525,153,12,71.0,118.0,OF,233276,0.291
1543,beckhgo01,Gordon,Beckham,2012,525,123,16,60.0,89.0,3B,543584,0.234
1644,bellbu01,Buddy,Bell,1986,568,158,20,75.0,49.0,3B,1905165,0.278
1645,bellbu01,Buddy,Bell,1987,522,148,17,70.0,39.0,3B,1838082,0.284
1655,bellda01,David,Bell,1999,597,160,21,78.0,90.0,3B,1008433,0.268
1658,bellda01,David,Bell,2002,552,144,20,73.0,80.0,3B,2334698,0.261
1660,bellda01,David,Bell,2004,533,155,18,77.0,75.0,3B,5590422,0.291
1661,bellda01,David,Bell,2005,557,138,10,61.0,69.0,3B,5775898,0.248
1665,bellde01,Derek,Bell,1993,542,142,21,72.0,122.0,OF,274056,0.262
1668,bellde01,Derek,Bell,1996,627,165,17,113.0,123.0,OF,4283108,0.263
1670,bellde01,Derek,Bell,1998,630,198,22,108.0,126.0,OF,6257851,0.314
1671,bellde01,Derek,Bell,1999,509,120,12,66.0,129.0,OF,6482782,0.236
1672,bellde01,Derek,Bell,2000,546,145,18,69.0,125.0,OF,6968844,0.266
1677,belleal01,Albert,Belle,1992,585,152,34,112.0,128.0,OF,299367,0.26
1678,belleal01,Albert,Belle,1993,594,172,38,129.0,96.0,OF,2782088,0.29
1680,belleal01,Albert,Belle,1995,546,173,50,126.0,80.0,OF,7086821,0.317
1681,belleal01,Albert,Belle,1996,602,187,48,148.0,87.0,OF,8719184,0.311
1682,belleal01,Albert,Belle,1997,634,174,30,116.0,105.0,OF,14953707,0.274
1683,belleal01,Albert,Belle,1998,609,200,49,152.0,84.0,OF,14724356,0.328
1684,belleal01,Albert,Belle,1999,610,181,37,117.0,82.0,OF,17215091,0.297
1685,belleal01,Albert,Belle,2000,559,157,23,103.0,68.0,OF,17935952,0.281
1689,bellge02,George,Bell,1985,607,167,28,95.0,90.0,OF,747234,0.275
1690,bellge02,George,Bell,1986,641,198,31,108.0,62.0,OF,1587638,0.309
1691,bellge02,George,Bell,1987,610,188,47,134.0,75.0,OF,2482467,0.308
1692,bellge02,George,Bell,1988,614,165,24,97.0,66.0,OF,3854719,0.269
1693,bellge02,George,Bell,1989,613,182,18,104.0,60.0,OF,3677527,0.297
1694,bellge02,George,Bell,1990,562,149,21,86.0,80.0,OF,3672640,0.265
1695,bellge02,George,Bell,1991,558,159,25,86.0,62.0,OF,3788657,0.285
1696,bellge02,George,Bell,1992,627,160,25,112.0,97.0,OF,6243945,0.255
1710,bellhma01,Mark,Bellhorn,2004,523,138,17,82.0,177.0,2B,622570,0.264
1730,belliro01,Ronnie,Belliard,2000,571,150,8,54.0,84.0,2B,348442,0.263
1734,belliro01,Ronnie,Belliard,2004,599,169,12,70.0,98.0,2B,1397606,0.282
1735,belliro01,Ronnie,Belliard,2005,536,152,17,78.0,72.0,2B,3072286,0.284
1738,belliro01,Ronnie,Belliard,2007,511,148,11,58.0,72.0,2B,868156,0.29
1745,bellja01,Jay,Bell,1990,583,148,7,52.0,109.0,2B,330538,0.254
1746,bellja01,Jay,Bell,1991,608,164,16,67.0,99.0,2B,669623,0.27
1747,bellja01,Jay,Bell,1992,632,167,9,55.0,103.0,2B,1496836,0.264
1748,bellja01,Jay,Bell,1993,604,187,9,51.0,122.0,2B,4941321,0.31
1750,bellja01,Jay,Bell,1995,530,139,13,55.0,110.0,2B,6929336,0.262
1751,bellja01,Jay,Bell,1996,527,132,13,71.0,108.0,2B,7189502,0.25
1752,bellja01,Jay,Bell,1997,573,167,21,92.0,101.0,2B,7476854,0.291
1753,bellja01,Jay,Bell,1998,549,138,20,67.0,129.0,2B,7362178,0.251
1754,bellja01,Jay,Bell,1999,589,170,38,112.0,132.0,2B,8787771,0.289
1755,bellja01,Jay,Bell,2000,565,151,18,68.0,88.0,2B,9756382,0.267
1773,beltbr01,Brandon,Belt,2013,509,147,17,67.0,125.0,1B,547585,0.289
1776,beltbr01,Brandon,Belt,2016,542,149,17,82.0,148.0,1B,6200000,0.275
1778,beltrad01,Adrian,Beltre,1999,538,148,15,67.0,105.0,3B,316936,0.275
1779,beltrad01,Adrian,Beltre,2000,510,148,20,85.0,80.0,3B,1393769,0.29
1781,beltrad01,Adrian,Beltre,2002,587,151,21,75.0,96.0,3B,3735518,0.257
1782,beltrad01,Adrian,Beltre,2003,559,134,23,80.0,103.0,3B,4826228,0.24
1783,beltrad01,Adrian,Beltre,2004,598,200,48,121.0,87.0,3B,6352753,0.334
1784,beltrad01,Adrian,Beltre,2005,603,154,19,87.0,108.0,3B,14009625,0.255
1785,beltrad01,Adrian,Beltre,2006,620,166,25,89.0,118.0,3B,15357591,0.268
1786,beltrad01,Adrian,Beltre,2007,595,164,26,99.0,104.0,3B,14932287,0.276
1787,beltrad01,Adrian,Beltre,2008,556,148,25,77.0,90.0,3B,14937524,0.266
1789,beltrad01,Adrian,Beltre,2010,589,189,28,102.0,82.0,3B,9906001,0.321
1791,beltrad01,Adrian,Beltre,2012,604,194,36,102.0,82.0,3B,15680310,0.321
1792,beltrad01,Adrian,Beltre,2013,631,199,30,92.0,78.0,3B,16484210,0.315
1793,beltrad01,Adrian,Beltre,2014,549,178,19,77.0,74.0,3B,17234890,0.324
1794,beltrad01,Adrian,Beltre,2015,567,163,18,83.0,65.0,3B,16201842,0.287
1795,beltrad01,Adrian,Beltre,2016,583,175,32,104.0,66.0,3B,18000000,0.3
1796,beltrca01,Carlos,Beltran,1999,663,194,22,108.0,123.0,OF,288124,0.293
1798,beltrca01,Carlos,Beltran,2001,617,189,24,101.0,120.0,OF,575963,0.306
1799,beltrca01,Carlos,Beltran,2002,637,174,29,105.0,135.0,OF,4669397,0.273
1800,beltrca01,Carlos,Beltran,2003,521,160,26,100.0,81.0,OF,7826315,0.307
1803,beltrca01,Carlos,Beltran,2005,582,155,16,78.0,96.0,OF,14220297,0.266
1804,beltrca01,Carlos,Beltran,2006,510,140,41,116.0,99.0,OF,16156933,0.275
1805,beltrca01,Carlos,Beltran,2007,554,153,33,112.0,111.0,OF,15709494,0.276
1806,beltrca01,Carlos,Beltran,2008,606,172,27,112.0,96.0,OF,20759602,0.284
1811,beltrca01,Carlos,Beltran,2012,547,147,32,97.0,124.0,OF,13589602,0.269
1812,beltrca01,Carlos,Beltran,2013,554,164,24,84.0,90.0,OF,13393420,0.296
1827,benarma01,Marvin,Benard,1999,562,163,16,64.0,97.0,OF,1224526,0.29
1828,benarma01,Marvin,Benard,2000,560,147,12,55.0,97.0,OF,1567990,0.262
1939,benzito01,Todd,Benzinger,1989,628,154,17,76.0,120.0,1B,309686,0.245
1983,bergepe01,Peter,Bergeron,2000,518,127,5,31.0,100.0,OF,280844,0.245
2013,berkmla01,Lance,Berkman,2001,577,191,34,126.0,121.0,1B,413338,0.331
2014,berkmla01,Lance,Berkman,2002,578,169,42,128.0,118.0,1B,667057,0.292
2015,berkmla01,Lance,Berkman,2003,538,155,25,93.0,108.0,1B,4565351,0.288
2016,berkmla01,Lance,Berkman,2004,544,172,30,106.0,101.0,1B,8258579,0.316
2018,berkmla01,Lance,Berkman,2006,536,169,45,136.0,106.0,1B,17262408,0.315
2019,berkmla01,Lance,Berkman,2007,561,156,34,102.0,125.0,1B,16784354,0.278
2020,berkmla01,Lance,Berkman,2008,554,173,29,106.0,108.0,1B,16163739,0.312
2031,bernato01,Tony,Bernazard,1986,562,169,17,73.0,77.0,2B,1270110,0.301
2043,berroan01,Angel,Berroa,2003,567,163,17,73.0,100.0,SS,393925,0.287
2044,berroan01,Angel,Berroa,2004,512,134,8,43.0,87.0,SS,473280,0.262
2045,berroan01,Angel,Berroa,2005,608,164,11,55.0,108.0,SS,614457,0.27
2050,berroge01,Geronimo,Berroa,1995,546,152,22,88.0,98.0,OF,370090,0.278
2051,berroge01,Geronimo,Berroa,1996,586,170,36,106.0,122.0,OF,1759134,0.29
2097,betanyu01,Yuniesky,Betancourt,2006,558,161,8,47.0,54.0,2B,806571,0.289
2098,betanyu01,Yuniesky,Betancourt,2007,536,155,9,67.0,48.0,2B,842112,0.289
2099,betanyu01,Yuniesky,Betancourt,2008,559,156,7,51.0,42.0,2B,1727848,0.279
2102,betanyu01,Yuniesky,Betancourt,2010,556,144,16,78.0,64.0,2B,3632200,0.259
2103,betanyu01,Yuniesky,Betancourt,2011,556,140,13,68.0,63.0,2B,4588044,0.252
2121,bettsmo01,Mookie,Betts,2015,597,174,18,77.0,82.0,2B,520990,0.291
2122,bettsmo01,Mookie,Betts,2016,672,214,31,113.0,80.0,2B,566000,0.318
2133,bicheda01,Dante,Bichette,1993,538,167,21,89.0,99.0,OF,1220797,0.31
2135,bicheda01,Dante,Bichette,1995,579,197,40,128.0,96.0,OF,5354487,0.34
2136,bicheda01,Dante,Bichette,1996,633,198,31,141.0,105.0,OF,5494104,0.313
2137,bicheda01,Dante,Bichette,1997,561,173,26,118.0,90.0,OF,7726083,0.308
2138,bicheda01,Dante,Bichette,1998,662,219,22,122.0,76.0,OF,7791639,0.331
2139,bicheda01,Dante,Bichette,1999,593,177,34,133.0,84.0,OF,10444482,0.298
2170,biggicr01,Craig,Biggio,1990,555,153,4,42.0,79.0,C,440717,0.276
2171,biggicr01,Craig,Biggio,1991,546,161,4,46.0,71.0,C,770948,0.295
2172,biggicr01,Craig,Biggio,1992,613,170,6,39.0,95.0,C,2437705,0.277
2173,biggicr01,Craig,Biggio,1993,610,175,21,64.0,93.0,C,5065892,0.287
2175,biggicr01,Craig,Biggio,1995,553,167,22,77.0,85.0,C,7441162,0.302
2176,biggicr01,Craig,Biggio,1996,605,174,15,75.0,72.0,C,3174089,0.288
2177,biggicr01,Craig,Biggio,1997,619,191,22,81.0,107.0,C,9390928,0.309
2178,biggicr01,Craig,Biggio,1998,646,210,20,88.0,113.0,C,9048117,0.325
2179,biggicr01,Craig,Biggio,1999,639,188,16,73.0,107.0,C,8730147,0.294
2181,biggicr01,Craig,Biggio,2001,617,180,20,70.0,100.0,C,10502847,0.292
2182,biggicr01,Craig,Biggio,2002,577,146,15,58.0,111.0,C,11673492,0.253
2183,biggicr01,Craig,Biggio,2003,628,166,15,62.0,116.0,C,12717762,0.264
2184,biggicr01,Craig,Biggio,2004,633,178,24,63.0,94.0,C,3811652,0.281
2185,biggicr01,Craig,Biggio,2005,590,156,26,69.0,90.0,C,3686743,0.264
2186,biggicr01,Craig,Biggio,2006,548,135,21,62.0,84.0,C,4762044,0.246
2187,biggicr01,Craig,Biggio,2007,517,130,10,50.0,112.0,C,5961339,0.251
2221,blackch02,Charlie,Blackmon,2014,593,171,19,72.0,96.0,OF,507922,0.288
2222,blackch02,Charlie,Blackmon,2015,614,176,17,58.0,112.0,OF,524028,0.287
2223,blackch02,Charlie,Blackmon,2016,578,187,29,82.0,102.0,OF,3500000,0.324
2243,blakeca01,Casey,Blake,2003,557,143,17,67.0,109.0,3B,430447,0.257
2244,blakeca01,Casey,Blake,2004,587,159,28,88.0,139.0,3B,447742,0.271
2245,blakeca01,Casey,Blake,2005,523,126,23,58.0,116.0,3B,2765058,0.241
2247,blakeca01,Casey,Blake,2007,588,159,18,78.0,123.0,3B,4340781,0.27
2251,blakeca01,Casey,Blake,2010,509,126,17,64.0,138.0,3B,6879168,0.248
2254,blaloha01,Hank,Blalock,2003,567,170,29,90.0,97.0,3B,394577,0.3
2255,blaloha01,Hank,Blalock,2004,624,172,32,110.0,149.0,3B,698803,0.276
2256,blaloha01,Hank,Blalock,2005,647,170,25,92.0,132.0,3B,1044577,0.263
2257,blaloha01,Hank,Blalock,2006,591,157,16,89.0,98.0,3B,3631058,0.266
2320,blausje01,Jeff,Blauser,1993,597,182,15,73.0,109.0,SS,3321896,0.305
2324,blausje01,Jeff,Blauser,1997,519,160,17,70.0,101.0,SS,6011390,0.308
2437,bogaexa01,Xander,Bogaerts,2014,538,129,12,46.0,138.0,3B,524143,0.24
2438,bogaexa01,Xander,Bogaerts,2015,613,196,7,81.0,101.0,3B,549850,0.32
2439,bogaexa01,Xander,Bogaerts,2016,652,192,21,89.0,123.0,3B,650000,0.294
2454,boggswa01,Wade,Boggs,1985,653,240,8,78.0,61.0,1B,2230548,0.368
2455,boggswa01,Wade,Boggs,1986,580,207,8,71.0,44.0,1B,2956291,0.357
2456,boggswa01,Wade,Boggs,1987,551,200,24,89.0,48.0,1B,3538836,0.363
2457,boggswa01,Wade,Boggs,1988,584,214,5,58.0,34.0,1B,3347519,0.366
2458,boggswa01,Wade,Boggs,1989,621,205,3,54.0,51.0,1B,3580750,0.33
2459,boggswa01,Wade,Boggs,1990,619,187,6,63.0,68.0,1B,3489008,0.302
2460,boggswa01,Wade,Boggs,1991,546,181,8,51.0,32.0,1B,4845956,0.332
2461,boggswa01,Wade,Boggs,1992,514,133,7,50.0,31.0,1B,4618809,0.259
2462,boggswa01,Wade,Boggs,1993,560,169,2,59.0,49.0,1B,4899797,0.302
2501,bondsba01,Barry,Bonds,1987,551,144,25,59.0,88.0,OF,211274,0.261
2502,bondsba01,Barry,Bonds,1988,538,152,24,58.0,82.0,OF,446336,0.283
2503,bondsba01,Barry,Bonds,1989,580,144,19,58.0,93.0,OF,696795,0.248
2504,bondsba01,Barry,Bonds,1990,519,156,33,114.0,83.0,OF,1560872,0.301
2505,bondsba01,Barry,Bonds,1991,510,149,25,116.0,73.0,OF,4052982,0.292
2507,bondsba01,Barry,Bonds,1993,539,181,46,123.0,79.0,OF,7501948,0.336
2509,bondsba01,Barry,Bonds,1995,506,149,33,104.0,83.0,OF,12861266,0.294
